position_txt,weight,name_display_first_last,college,height_inches,starter_sw,jersey_number,end_date,name_first,bats,team_code,height_feet,pro_debut_date,status_code,primary_position,birth_date,team_abbrev,throws,team_name,name_display_last_first,name_use,player_id,name_last,team_id,start_date,name_full
P,215,Matt Andriese,UC Riverside,2,,35,,Matthew,R,bos,6,2015-04-10T00:00:00,D10,1,1989-08-28T00:00:00,BOS,R,Boston Red Sox,"Andriese, Matt",Matt,542882,Andriese,111,2020-12-23T00:00:00,"Andriese, Matt"
2B,195,Jonathan Arauz,,0,,3,,Jonathan,S,bos,6,2020-07-24T00:00:00,A,4,1998-08-03T00:00:00,BOS,R,Boston Red Sox,"Arauz, Jonathan",Jonathan,660620,Arauz,111,2019-12-12T00:00:00,"Arauz, Jonathan"
2B,210,Christian Arroyo,,1,,39,,Christian,R,bos,6,2017-04-24T00:00:00,D10,4,1995-05-30T00:00:00,BOS,R,Boston Red Sox,"Arroyo, Christian",Christian,624414,Arroyo,111,2020-09-08T00:00:00,"Arroyo, Christian"
P,208,Matt Barnes,Connecticut,4,,32,,Matthew,R,bos,6,2014-09-09T00:00:00,A,1,1990-06-17T00:00:00,BOS,R,Boston Red Sox,"Barnes, Matt",Matt,598264,Barnes,111,2014-09-08T00:00:00,"Barnes, Matt"
SS,218,Xander Bogaerts,,2,,2,,Xander,R,bos,6,2013-08-20T00:00:00,A,6,1992-10-01T00:00:00,BOS,R,Boston Red Sox,"Bogaerts, Xander",Xander,593428,Bogaerts,111,2013-08-19T00:00:00,"Bogaerts, Xander"
LF,226,Franchy Cordero,,3,,16,,Franchy,L,bos,6,2017-05-27T00:00:00,A,7,1994-09-02T00:00:00,BOS,R,Boston Red Sox,"Cordero, Franchy",Franchy,614173,Cordero,111,2021-02-10T00:00:00,"Cordero, Franchy"
1B,227,Bobby Dalbec,Arizona,4,N,29,,Robert,R,bos,6,2020-08-30T00:00:00,A,3,1995-06-29T00:00:00,BOS,R,Boston Red Sox,"Dalbec, Bobby",Bobby,666915,Dalbec,111,2019-11-20T00:00:00,"Dalbec, Bobby"
P,235,Austin Davis,Cal State Bakersfield,4,,65,,Austin,L,bos,6,2018-06-20T00:00:00,A,1,1993-02-03T00:00:00,BOS,L,Boston Red Sox,"Davis, Austin",Austin,656354,Davis,111,2021-07-30T00:00:00,"Davis, Austin"
3B,240,Rafael Devers,,0,,11,,Rafael,L,bos,6,2017-07-25T00:00:00,A,5,1996-10-24T00:00:00,BOS,R,Boston Red Sox,"Devers, Rafael",Rafael,646240,Devers,111,2017-07-24T00:00:00,"Devers, Rafael"
CF,212,Jarren Duran,Long Beach State,2,,40,,Jarren,L,bos,6,2021-07-17T00:00:00,A,8,1996-09-05T00:00:00,BOS,R,Boston Red Sox,"Duran, Jarren",Jarren,680776,Duran,111,2021-07-16T00:00:00,"Duran, Jarren"
P,217,Nathan Eovaldi,,2,N,17,,Nathan,R,bos,6,2011-08-06T00:00:00,A,1,1990-02-13T00:00:00,BOS,R,Boston Red Sox,"Eovaldi, Nathan",Nathan,543135,Eovaldi,111,2018-12-06T00:00:00,"Eovaldi, Nathan"
